type,url,slug,title,category,verdict,action,indexable,body_words,faq_words,original_words,h2_count,visible_verify,verify_total,placeholders,posts,duplicate_of,flags
article,https://nxtsmarthome.com.au/energy-and-solar/smart-plugs-energy-monitors-lower-power-bill-australia/,smart-plugs-energy-monitors-lower-power-bill-australia,How Smart Plugs and Energy Monitors Can Cut Your Australian Power Bill,energy,OK,,yes,1925,419,,9,0,0,,,,merge survivor
article,https://nxtsmarthome.com.au/setup-guides/home-assistant-energy-dashboard-solar-export-time-of-use-tariffs/,home-assistant-energy-dashboard-solar-export-time-of-use-tariffs,How to Build a Home Assistant Energy Dashboard That Tracks Solar Export and Time-of-Use Tariffs,setup-guides,OK,,yes,1554,375,,6,0,0,,,,
article,https://nxtsmarthome.com.au/robot-vacuums/robot-vacuum-dock-placement-rental-apartment-no-new-wiring/,robot-vacuum-dock-placement-rental-apartment-no-new-wiring,Where to Put a Robot Vacuum Dock in a Rental or Apartment Without New Wiring,robot-vacuums,OK,,yes,1381,425,,6,0,0,,,,
article,https://nxtsmarthome.com.au/robot-vacuums/robot-vacuum-running-costs-australia/,robot-vacuum-running-costs-australia,What a Robot Vacuum Actually Costs to Keep Running in Australia After the Purchase Price,robot-vacuums,OK,,yes,1365,430,,6,0,0,,,,
article,https://nxtsmarthome.com.au/setup-guides/zigbee-mesh-garage-granny-flat-double-brick-home/,zigbee-mesh-garage-granny-flat-double-brick-home,How to Set Up a Zigbee Mesh That Reaches the Garage and Granny Flat in a Double Brick Home,setup-guides,OK,,yes,1626,358,,8,0,0,,,,
article,https://nxtsmarthome.com.au/robot-vacuums/robot-vacuum-local-home-assistant-no-cloud/,robot-vacuum-local-home-assistant-no-cloud,Running a Robot Vacuum Locally in Home Assistant (No Cloud),robot-vacuums,OK,,yes,1409,428,,6,0,0,,,,
article,https://nxtsmarthome.com.au/climate-and-comfort/smart-thermostat-gas-ducted-hydronic-heating-australia/,smart-thermostat-gas-ducted-hydronic-heating-australia,Smart Thermostat Options for Gas Ducted and Hydronic Heating in Older Australian Homes,climate,OK,,yes,1509,475,,6,0,0,,,,
article,https://nxtsmarthome.com.au/climate-and-comfort/bathroom-humidity-sensor-exhaust-fan-automation-australia/,bathroom-humidity-sensor-exhaust-fan-automation-australia,Humidity Sensors and Exhaust Fan Automation for Australian Bathrooms,climate,OK,,yes,1507,427,,7,0,0,,,,
article,https://nxtsmarthome.com.au/climate-and-comfort/reverse-cycle-air-conditioner-rooftop-solar-australia/,reverse-cycle-air-conditioner-rooftop-solar-australia,Running Your Reverse Cycle Air Conditioner Off Rooftop Solar Instead of the Grid,climate,OK,,yes,1574,411,,6,0,0,,,,
article,https://nxtsmarthome.com.au/climate-and-comfort/smart-zoning-ducted-air-conditioning-cost-australia/,smart-zoning-ducted-air-conditioning-cost-australia,What Smart Zoning Actually Costs on Ducted Air Conditioning in Australia,climate,OK,,yes,1494,430,,8,0,0,,,,
article,https://nxtsmarthome.com.au/entertainment-and-audio/outdoor-tvs-projectors-speakers-australian-summer/,outdoor-tvs-projectors-speakers-australian-summer,"Outdoor TVs, Projectors and Speakers That Survive an Australian Summer",entertainment,OK,,yes,1537,514,,6,0,0,,,,
article,https://nxtsmarthome.com.au/entertainment-and-audio/movie-night-lighting-scenes-you-can-build-without-touching-the-switchboard/,movie-night-lighting-scenes-you-can-build-without-touching-the-switchboard,Movie Night Lighting Scenes You Can Build Without Touching the Switchboard,entertainment,OK,,yes,1346,386,,7,0,0,,,,
article,https://nxtsmarthome.com.au/entertainment-and-audio/streaming-box-australia-free-to-air-catch-up-tv/,streaming-box-australia-free-to-air-catch-up-tv,Choosing a Streaming Box in Australia When You Still Watch Free-to-Air and Catch-Up TV,entertainment,OK,,yes,1404,436,,5,0,0,,,,
article,https://nxtsmarthome.com.au/lighting/smart-lighting-rental-australia-no-wiring/,smart-lighting-rental-australia-no-wiring,Getting Smart Lighting Into a Rental Without Touching the Wiring or Losing Your Bond,lighting,OK,,yes,1382,363,,5,0,0,,,,
article,https://nxtsmarthome.com.au/security-and-cameras/keep-security-cameras-running-blackout-nbn-outage/,keep-security-cameras-running-blackout-nbn-outage,Keep Your Security Cameras Recording When the Power or NBN Goes Down,security,OK,,yes,2095,483,,7,0,0,,,,merge survivor
article,https://nxtsmarthome.com.au/lighting/smart-downlights-australian-ceilings-insulation-clearance-rules/,smart-downlights-australian-ceilings-insulation-clearance-rules,"Smart Downlights in Australian Ceilings: Insulation Clearance Rules, Explained",lighting,OK,,yes,1447,454,,6,0,0,,,,
article,https://nxtsmarthome.com.au/security-and-cameras/local-recording-vs-cloud-subscriptions-security-cameras-australia/,local-recording-vs-cloud-subscriptions-security-cameras-australia,Local Recording vs Cloud Subscriptions for Home Security Cameras in Australia,security,OK,,yes,1387,405,,6,0,0,,,,
article,https://nxtsmarthome.com.au/security-and-cameras/wiring-video-doorbell-australian-chime-transformer/,wiring-video-doorbell-australian-chime-transformer,Wiring a Video Doorbell to an Australian Chime and Transformer Without Breaking the Rules,security,OK,,yes,1489,458,,6,0,0,,,,
article,https://nxtsmarthome.com.au/lighting/smart-light-switches-neutral-wire-older-australian-homes/,smart-light-switches-neutral-wire-older-australian-homes,Smart Light Switches Without a Neutral Wire: Options for Older Australian Homes,lighting,OK,,yes,2007,705,,8,0,0,,,,merge survivor
article,https://nxtsmarthome.com.au/buying-guides/smart-home-hub-buying-guide-australia/,smart-home-hub-buying-guide-australia,"Smart Home Hubs in Australia: Do You Need One, and Which Hub Suits You?",buying-guides,OK,,yes,1569,241,,9,0,0,,,,
article,https://nxtsmarthome.com.au/energy-and-solar/smart-plug-buying-guide-australia/,smart-plug-buying-guide-australia,Smart Plug Buying Guide: What to Check Before You Buy in Australia,energy,OK,,yes,1447,295,,8,0,0,,,,
article,https://nxtsmarthome.com.au/energy-and-solar/what-not-to-plug-into-a-smart-plug-australia/,what-not-to-plug-into-a-smart-plug-australia,What You Should Never Plug Into a Smart Plug,energy,OK,,yes,1278,332,,7,0,0,,,,
article,https://nxtsmarthome.com.au/buying-guides/second-hand-smart-home-devices-australia/,second-hand-smart-home-devices-australia,Buying Second-Hand Smart Home Devices in Australia,buying-guides,OK,,yes,1460,311,,8,0,0,,,,
article,https://nxtsmarthome.com.au/buying-guides/smart-home-holiday-house-australia/,smart-home-holiday-house-australia,Smart Home Gear for a Holiday House or Short-Stay Rental,buying-guides,OK,,yes,1176,285,,7,0,0,,,,
article,https://nxtsmarthome.com.au/buying-guides/overseas-smart-home-devices-australia/,overseas-smart-home-devices-australia,Do Overseas Smart Home Devices Work in Australia?,buying-guides,OK,,yes,840,284,,5,0,0,,,,
article,https://nxtsmarthome.com.au/buying-guides/smart-home-devices-older-australians/,smart-home-devices-older-australians,Smart Home Devices for Older Australians,buying-guides,OK,,yes,1099,263,,8,0,0,,,,
article,https://nxtsmarthome.com.au/buying-guides/future-proof-smart-home-devices-australia/,future-proof-smart-home-devices-australia,Buying Smart Home Devices That Will Still Work in Five Years,buying-guides,OK,,yes,1046,219,,6,0,0,,,,
article,https://nxtsmarthome.com.au/buying-guides/where-to-buy-smart-home-australia/,where-to-buy-smart-home-australia,Where to Buy Smart Home Gear in Australia: Bunnings vs JB Hi-Fi,buying-guides,OK,,yes,1433,334,,6,0,0,,,,
article,https://nxtsmarthome.com.au/hubs-and-platforms/smart-home-devices-without-internet/,smart-home-devices-without-internet,Do Smart Home Devices Still Work When the Internet Drops?,hubs-and-platforms,OK,,yes,881,217,,6,0,0,,,,
article,https://nxtsmarthome.com.au/hubs-and-platforms/thread-vs-matter-difference/,thread-vs-matter-difference,"Thread vs Matter: What Is the Difference, Simply Explained",hubs-and-platforms,OK,,yes,1453,268,,10,0,0,,,,
article,https://nxtsmarthome.com.au/entertainment-and-audio/smart-speakers-multiroom-audio-australia/,smart-speakers-multiroom-audio-australia,Smart Speakers and Multi-Room Audio: How to Choose in Australia,entertainment,OK,,yes,1044,234,,6,0,0,,,,
article,https://nxtsmarthome.com.au/buying-guides/smart-home-for-renters-australia/,smart-home-for-renters-australia,Smart Home for Renters: What You Can Install Without Drilling or Rewiring,buying-guides,OK,,yes,2162,457,,7,0,0,,,,merge survivor
article,https://nxtsmarthome.com.au/buying-guides/smart-home-starter-guide-beginners-australia/,smart-home-starter-guide-beginners-australia,Smart Home for Beginners: How to Start Without Wasting Money,buying-guides,OK,,yes,1077,178,,7,0,0,,,,
article,https://nxtsmarthome.com.au/robot-vacuums/robot-vacuum-buying-guide-australia/,robot-vacuum-buying-guide-australia,Robot Vacuum Buying Guide: What Actually Matters (and What Does Not),robot-vacuums,OK,,yes,2114,435,,9,0,0,,,,merge survivor
article,https://nxtsmarthome.com.au/climate-and-comfort/make-split-system-aircon-smart-australia/,make-split-system-aircon-smart-australia,How to Make Your Split System Air Conditioner Smart (Without Replacing It),climate,OK,,yes,2102,404,,12,0,0,,,,merge survivor
article,https://nxtsmarthome.com.au/energy-and-solar/smart-plugs-energy-monitoring-australia/,smart-plugs-energy-monitoring-australia,Do Smart Plugs Actually Save You Money on Australian Electricity?,energy,OK,,yes,1087,228,,5,0,0,,,,
article,https://nxtsmarthome.com.au/security-and-cameras/smart-home-privacy-cameras-australia-law/,smart-home-privacy-cameras-australia-law,Smart Home Cameras and Australian Privacy Law: What You Need to Know,security,OK,,yes,1192,219,,9,0,0,,,,
article,https://nxtsmarthome.com.au/security-and-cameras/video-doorbell-buying-guide-australia/,video-doorbell-buying-guide-australia,Video Doorbell Buying Guide: What Matters in an Australian Home,security,OK,,yes,1119,226,,7,0,0,,,,
article,https://nxtsmarthome.com.au/setup-guides/fix-smart-home-wifi-dropouts/,fix-smart-home-wifi-dropouts,How to Fix Smart Home Devices That Keep Dropping Off Wi-Fi,setup-guides,OK,,yes,1073,212,,8,0,0,,,,
article,https://nxtsmarthome.com.au/setup-guides/smart-home-electrical-work-australia-legal/,smart-home-electrical-work-australia-legal,What Smart Home Electrical Work Can You Legally Do Yourself in Australia?,setup-guides,OK,,yes,880,187,,6,0,0,,,,
article,https://nxtsmarthome.com.au/lighting/smart-bulbs-vs-smart-switches-australia/,smart-bulbs-vs-smart-switches-australia,Smart Bulbs vs Smart Switches: What Australian Homes Should Actually Buy,lighting,OK,,yes,997,219,,4,0,0,,,,
article,https://nxtsmarthome.com.au/hubs-and-platforms/zigbee-vs-zwave-vs-thread-vs-wifi/,zigbee-vs-zwave-vs-thread-vs-wifi,Zigbee vs Z-Wave vs Thread vs Wi-Fi: Which Smart Home Protocol Wins?,hubs-and-platforms,OK,,yes,964,213,,5,0,0,,,,
article,https://nxtsmarthome.com.au/hubs-and-platforms/best-smart-home-platform-australia/,best-smart-home-platform-australia,Which Smart Home Platform Should You Choose in Australia?,hubs-and-platforms,OK,,yes,1279,234,,8,0,0,,,,
article,https://nxtsmarthome.com.au/hubs-and-platforms/what-is-matter-smart-home-australia/,what-is-matter-smart-home-australia,What Is Matter? The Smart Home Standard Explained for Australians,hubs-and-platforms,OK,,yes,1183,233,,7,0,0,,,,
product,https://nxtsmarthome.com.au/products/ring-floodlight-cam-plus-wired/,ring-floodlight-cam-plus-wired,Ring Floodlight Cam Plus Wired,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,542,,,,,,,"no pros/cons; 9/30 reviews from sources not allowed; reviews block shown (21, with score)"
product,https://nxtsmarthome.com.au/products/ring-spotlight-cam-pro-battery/,ring-spotlight-cam-pro-battery,Ring Spotlight Cam Pro Battery,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,539,,,,,,,no pros/cons; 25/30 reviews from sources not allowed; reviews block shown (5)
product,https://nxtsmarthome.com.au/products/ring-stick-up-cam-battery/,ring-stick-up-cam-battery,Ring Stick Up Cam Battery,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,582,,,,,,,no pros/cons; 28/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/ring-indoor-cam-2nd-gen/,ring-indoor-cam-2nd-gen,Ring Indoor Cam (2nd Gen),security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,568,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/ring-video-doorbell-pro-2/,ring-video-doorbell-pro-2,Ring Video Doorbell Pro 2,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,598,,,,,,,"no pros/cons; 2/30 reviews from sources not allowed; reviews block shown (28, with score)"
product,https://nxtsmarthome.com.au/products/ring-battery-doorbell-plus/,ring-battery-doorbell-plus,Ring Battery Doorbell Plus,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,598,,,,,,,no pros/cons; 27/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/ring-video-doorbell-2nd-gen/,ring-video-doorbell-2nd-gen,Ring Video Doorbell (2nd Gen),security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,514,,,,,,,no pros/cons; 25/30 reviews from sources not allowed; reviews block shown (5)
product,https://nxtsmarthome.com.au/products/ring-alarm-5-piece-security-kit-2nd-gen/,ring-alarm-5-piece-security-kit-2nd-gen,Ring Alarm 5-Piece Security Kit (2nd Gen),security-and-cameras,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,38,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/eufy-eufycam-3-s380-4k-solar-security-camera/,eufy-eufycam-3-s380-4k-solar-security-camera,eufy eufyCam 3 (S380) 4K Solar Security Camera,security-and-cameras,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,37,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/eufy-eufycam-2c-pro-2k-wireless-security-system/,eufy-eufycam-2c-pro-2k-wireless-security-system,eufy eufyCam 2C Pro 2K Wireless Security System,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,545,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/eufy-security-indoor-cam-s350-dual-lens/,eufy-security-indoor-cam-s350-dual-lens,eufy Security Indoor Cam S350 Dual-Lens,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,595,,,,,,,"no pros/cons; reviews block shown (30, with score)"
product,https://nxtsmarthome.com.au/products/eufy-video-doorbell-e340-dual-camera/,eufy-video-doorbell-e340-dual-camera,eufy Video Doorbell E340 Dual Camera,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,533,,,,,,,"no pros/cons; 1/30 reviews from sources not allowed; reviews block shown (29, with score)"
product,https://nxtsmarthome.com.au/products/eufy-security-solocam-s340-solar-pan-tilt/,eufy-security-solocam-s340-solar-pan-tilt,eufy Security SoloCam S340 Solar Pan & Tilt,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,629,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/eufy-smart-lock-c220-with-wi-fi/,eufy-smart-lock-c220-with-wi-fi,eufy Smart Lock C220 with Wi-Fi,security-and-cameras,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,35,,,,,,,"no pros/cons; 7/30 reviews from sources not allowed; reviews block shown (23, with score)"
product,https://nxtsmarthome.com.au/products/arlo-pro-5-2k-wireless-security-camera/,arlo-pro-5-2k-wireless-security-camera,Arlo Pro 5 2K Wireless Security Camera,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,578,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/arlo-ultra-2-4k-spotlight-camera/,arlo-ultra-2-4k-spotlight-camera,Arlo Ultra 2 4K Spotlight Camera,security-and-cameras,OK,,yes,,,929,,,,,,,curated
product,https://nxtsmarthome.com.au/products/arlo-essential-wireless-video-doorbell-2k/,arlo-essential-wireless-video-doorbell-2k,Arlo Essential Wireless Video Doorbell 2K,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,558,,,,,,,"no pros/cons; 9/30 reviews from sources not allowed; reviews block shown (21, with score)"
product,https://nxtsmarthome.com.au/products/tp-link-tapo-c220-2k-pan-tilt-security-camera/,tp-link-tapo-c220-2k-pan-tilt-security-camera,TP-Link Tapo C220 2K Pan/Tilt Security Camera,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,567,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/tp-link-tapo-c520ws-outdoor-pan-tilt-security-camera/,tp-link-tapo-c520ws-outdoor-pan-tilt-security-camera,TP-Link Tapo C520WS Outdoor Pan/Tilt Security Camera,security-and-cameras,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,32,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/tp-link-tapo-d230s1-smart-video-doorbell/,tp-link-tapo-d230s1-smart-video-doorbell,TP-Link Tapo D230S1 Smart Video Doorbell,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,573,,,,,,,no pros/cons; 20/23 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/reolink-argus-3-ultra-4k-solar-camera/,reolink-argus-3-ultra-4k-solar-camera,Reolink Argus 3 Ultra 4K Solar Camera,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,558,,,,,,,no pros/cons; 8/8 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/reolink-video-doorbell-wifi-2k/,reolink-video-doorbell-wifi-2k,Reolink Video Doorbell WiFi 2K+,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,576,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/google-nest-cam-outdoor-or-indoor-battery/,google-nest-cam-outdoor-or-indoor-battery,"Google Nest Cam (Outdoor or Indoor, Battery)",security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,555,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/google-nest-doorbell-battery/,google-nest-doorbell-battery,Google Nest Doorbell (Battery),security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,566,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/aqara-smart-lock-u100-apple-homekey/,aqara-smart-lock-u100-apple-homekey,Aqara Smart Lock U100 Apple HomeKey,security-and-cameras,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,37,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/aqara-camera-hub-g3-pan-tilt/,aqara-camera-hub-g3-pan-tilt,Aqara Camera Hub G3 Pan & Tilt,security-and-cameras,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,34,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/aqara-doorbell-camera-g4-matter/,aqara-doorbell-camera-g4-matter,Aqara Doorbell Camera G4 Matter,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,687,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/swann-max-4k-ultra-hd-security-system/,swann-max-4k-ultra-hd-security-system,Swann Max+ 4K Ultra HD Security System,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,608,,,,,,,"no pros/cons; 9/30 reviews from sources not allowed; reviews block shown (21, with score)"
product,https://nxtsmarthome.com.au/products/yale-assure-lock-sl-key-free-deadbolt/,yale-assure-lock-sl-key-free-deadbolt,Yale Assure Lock SL Key-Free Deadbolt,security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,491,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/august-wi-fi-smart-lock-4th-gen/,august-wi-fi-smart-lock-4th-gen,August Wi-Fi Smart Lock (4th Gen),security-and-cameras,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,473,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/philips-hue-white-color-ambiance-starter-kit-e27/,philips-hue-white-color-ambiance-starter-kit-e27,Philips Hue White & Color Ambiance Starter Kit E27,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,499,,,,,,,no pros/cons; 4/6 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/philips-hue-white-color-ambiance-b22-bulb/,philips-hue-white-color-ambiance-b22-bulb,Philips Hue White & Color Ambiance B22 Bulb,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,536,,,,,,,no pros/cons; 5/6 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/philips-hue-lightstrip-plus-2m-base-v4/,philips-hue-lightstrip-plus-2m-base-v4,Philips Hue Lightstrip Plus 2m Base V4,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,505,,,,,,,no pros/cons; 19/30 reviews from sources not allowed; reviews block shown (11)
product,https://nxtsmarthome.com.au/products/philips-hue-play-light-bar-2-pack/,philips-hue-play-light-bar-2-pack,Philips Hue Play Light Bar (2-Pack),lighting,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,36,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/philips-hue-smart-dimmer-switch-v2/,philips-hue-smart-dimmer-switch-v2,Philips Hue Smart Dimmer Switch V2,lighting,OK,,yes,,,1130,,,,,,,30/30 reviews from sources not allowed; curated
product,https://nxtsmarthome.com.au/products/philips-hue-outdoor-lily-spotlight-base-kit/,philips-hue-outdoor-lily-spotlight-base-kit,Philips Hue Outdoor Lily Spotlight Base Kit,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,525,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/lifx-clean-antibacterial-smart-bulb-e27/,lifx-clean-antibacterial-smart-bulb-e27,LIFX Clean Antibacterial Smart Bulb E27,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,515,,,,,,,no pros/cons; 1/2 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/lifx-color-smart-bulb-b22/,lifx-color-smart-bulb-b22,LIFX Color Smart Bulb B22,lighting,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,31,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/lifx-z-led-lightstrip-starter-kit-2m/,lifx-z-led-lightstrip-starter-kit-2m,LIFX Z LED Lightstrip Starter Kit (2m),lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,501,,,,,,,"no pros/cons; 2/30 reviews from sources not allowed; reviews block shown (28, with score)"
product,https://nxtsmarthome.com.au/products/tp-link-tapo-l530e-smart-wi-fi-light-bulb-e27/,tp-link-tapo-l530e-smart-wi-fi-light-bulb-e27,TP-Link Tapo L530E Smart Wi-Fi Light Bulb E27,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,566,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
